      1 Acetanaerobacterium elongatum
      1 Acetatifactor muris
      1 Acholeplasmatales bacterium
      1 Acidovorax sp.
      1 Acinetobacter guillouiae
      1 Acinetobacter guillouiae
      1 Acinetobacter guillouiae
      1 Acinetobacter guillouiae
      1 Actinomyces sp.
      1 Actinomyces sp.
      1 Actinomyces suimastitidis
      1 Actinomycetales
      1 Actinomycetales
      1 Actinoplanes violaceus
      1 Actinoplanes violaceus
      1 Agromyces sp.
      1 Alistipes obesi
      1 Altererythrobacter sp.
      1 Anaeromassilibacillus sp.
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaplasma phagocytophilum
      1 Anaplasma phagocytophilum
      1 Anaplasma phagocytophilum
      1 Anaplasma phagocytophilum
      1 Arthrobacter pascens
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Bacillus drentensis
      1 Bacillus sp.
      1 Bacteriovorax sp.
      1 Bacteroides clarus
      1 Bacteroides gallinarum
      1 Bacteroides sp.
      1 Bacteroides sp.
      1 Bacteroides stercoris
      1 Bacteroides stercoris
      1 Bacteroides uniformis
      1 Bacteroides uniformis
      1 Bacteroides uniformis
      1 Bdellovibrio sp.
      1 Bdellovibrio sp.
      1 Blastococcus aggregatus
      1 Blastococcus sp.
      1 Blastococcus sp.
      1 Blautia coccoides
      1 Brachybacterium sp.
      1 Brevibacterium sp.
      1 Brevibacterium sp.
      1 Brevibacterium sp.
      1 Brevibacterium sp.
      1 Brevundimonas sp.
      1 Brevundimonas sp.
      1 Butyrivibrio crossotus
      1 Butyrivibrio crossotus
      1 Butyrivibrio sp.
      1 Candidatus Planktophila
      1 Candidatus Planktophila
      1 Candidatus Woesebacteria
      1 Chitinophagaceae bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Clostridium sp.
      1 Coprococcus catus
      1 Corynebacterium mastitidis
      1 Corynebacterium tuberculostearicum
      1 Cryobacterium sp.
      1 Cutibacterium acnes
      1 Cutibacterium acnes
      1 Cutibacterium acnes
      1 Cytophaga hutchinsonii
      1 Delftia sp.
      1 Dyadobacter sp.
      1 Enteroscipio rubneri
      1 Eubacterium sp.
      1 Eubacterium sp.
      1 Eubacterium sp.
      1 Firmicutes bacterium
      1 Firmicutes bacterium
      1 Firmicutes bacterium
      1 Flintibacter butyricus
      1 Flintibacter butyricus
