      1 Aestuariimicrobium kwangyangense
      1 Bartonella jaculi
      1 Bartonella jaculi
      1 Bartonella jaculi
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Clostridiales bacterium
      1 Clostridiales bacterium
      1 Clostridium sp.
      1 Clostridium sp.
      1 Lactobacillales bacterium
      1 Pelomonas puraquae
      1 Raoultibacter massiliensis
      1 Solemya pervernicosa
      1 Solemya pervernicosa
      1 Solemya pervernicosa
      1 Staphylococcus sp.
      1 [Clostridium] clostridioforme
      1 bacterium
      1 bacterium AC2028
      1 bacterium NLAE-zl-G1
      1 bacterium NLAE-zl-G12
      1 bacterium V9D2002
      1 bacterium V9D2002
      1 bacterium XPB1014
      2 Intestinimonas butyriciproducens
      3 Bartonella washoeensis
      3 Bartonella washoeensis
      4 Bartonella washoeensis
      5 Bartonella washoeensis
      6 Bartonella washoeensis
      6 Bartonella washoeensis
      7 Bartonella washoeensis
      9 Bartonella washoeensis
      9 Bartonella washoeensis
     13 Bartonella washoeensis
     20 Bartonella washoeensis
     23 Bartonella washoeensis
     23 Bartonella washoeensis
     24 Bartonella washoeensis
     24 Bartonella washoeensis
     28 Bartonella washoeensis
     28 Bartonella washoeensis
     31 Bartonella washoeensis
     35 Bartonella washoeensis
     52 Bartonella washoeensis
     59 Bartonella washoeensis
    102 Bartonella washoeensis
    129 Bartonella washoeensis
