      1 Acetatifactor muris
      1 Acidobacteria bacterium
      1 Acidobacteria bacterium
      1 Acidobacteria bacterium
      1 Acidovorax sp.
      1 Acinetobacter lwoffii
      1 Acinetobacter lwoffii
      1 Actinoalloteichus sp.
      1 Agrobacterium sp.
      1 Agrococcus jenensis
      1 Agrococcus sp.
      1 Agromyces sp.
      1 Agromyces sp.
      1 Alistipes obesi
      1 Alistipes obesi
      1 Alistipes sp.
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaeroplasma abactoclasticum
      1 Anaplasma phagocytophilum
      1 Anaplasma phagocytophilum
      1 Anaplasma phagocytophilum
      1 Arcicella sp.
      1 Arthrobacter citreus
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Arthrobacter sp.
      1 Bacillus sp.
      1 Bacillus sp.
      1 Bacillus sp.
      1 Bacteroides clarus
      1 Bacteroides clarus
      1 Bacteroides gallinarum
      1 Bacteroides gallinarum
      1 Bacteroides gallinarum
      1 Bacteroides gallinarum
      1 Bacteroides sp.
      1 Bacteroides sp.
      1 Bacteroides sp.
      1 Bacteroides sp.
      1 Bacteroides sp.
      1 Bacteroides sp.
      1 Bacteroides stercoris
      1 Bacteroides stercoris
      1 Bacteroides stercoris
      1 Bacteroides stercoris
      1 Bacteroides stercoris
      1 Bacteroides stercoris
      1 Bacteroides vulgatus
      1 Bacteroides vulgatus
      1 Bacteroides vulgatus
      1 Bartonella jaculi
      1 Bartonella jaculi
      1 Bartonella jaculi
      1 Bartonella sp.
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
      1 Bartonella washoeensis
