Bartonella washoeensis,ERR1942285.1,gi|257153093|dbj|AB519066.1|,99.56,225,1,0,1,225,251,27,6e-111,411
Bartonella washoeensis,ERR1942285.2,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.3,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.4,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
bacterium,ERR1942285.5,gi|50982374|gb|AY654967.1|,92.13,216,16,1,1,215,250,35,1e-78,303
Corynebacterium mucifaciens,ERR1942285.6,gi|1129645845|gb|KU922487.1|,100.00,235,0,0,1,235,277,43,4e-118,435
Bartonella washoeensis,ERR1942285.7,gi|257153093|dbj|AB519066.1|,99.56,227,1,0,1,227,251,25,5e-112,414
Lachnospira pectinoschiza,ERR1942285.8,gi|51512126|gb|AY699277.1|,92.00,225,18,0,1,225,345,121,1e-82,316
Enterobacter sp.,ERR1942285.9,gi|1441040608|gb|MG822728.1|,100.00,222,0,0,1,222,298,77,6e-111,411
Bartonella washoeensis,ERR1942285.10,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.11,gi|257153093|dbj|AB519066.1|,100.00,226,0,0,1,226,251,26,4e-113,418
Clostridiales bacterium oral taxon F32,ERR1942285.12,gi|295877494|gb|HM099644.1|,90.82,207,19,0,1,207,382,176,6e-71,278
Massilia brevitalea,ERR1942285.13,gi|1008423830|gb|KU179846.1|,97.76,223,4,1,1,222,312,90,1e-102,383
Campylobacter sp. 0403804-C0128,ERR1942285.14,gi|322423929|gb|HQ628649.1|,95.83,216,8,1,1,216,322,108,5e-92,348
Bartonella washoeensis,ERR1942285.15,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.16,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.17,gi|257153093|dbj|AB519066.1|,93.42,228,15,0,2,229,250,23,3e-89,339
Bartonella washoeensis,ERR1942285.18,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.19,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Ochrobactrum sp. Cr13,ERR1942285.20,gi|338319623|gb|JN000353.1|,99.11,225,2,0,1,225,298,74,3e-109,405
Bartonella washoeensis,ERR1942285.21,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.22,gi|257153093|dbj|AB519066.1|,99.12,227,2,0,1,227,251,25,2e-110,409
Bartonella washoeensis,ERR1942285.23,gi|257153093|dbj|AB519066.1|,100.00,226,0,0,1,226,251,26,4e-113,418
Cutibacterium granulosum,ERR1942285.24,gi|1229452555|gb|KY674868.1|,100.00,234,0,0,1,234,272,39,1e-117,433
Clostridiales bacterium CIEAF 029,ERR1942285.25,gi|388556167|dbj|AB702932.1|,95.83,240,10,0,1,240,349,110,3e-104,388
Bartonella washoeensis,ERR1942285.26,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.27,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.28,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Clostridiales bacterium Marseille-P2846,ERR1942285.29,gi|1032798185|emb|LT576387.1|,91.28,218,15,3,2,217,336,121,6e-76,294
Lachnospiraceae bacterium 4C56CA,ERR1942285.30,gi|374923186|gb|JQ316643.1|,90.67,225,21,0,1,225,269,45,1e-77,300
Bartonella washoeensis,ERR1942285.31,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Clostridiales bacterium 30-4c,ERR1942285.32,gi|312064780|gb|HQ452853.1|,93.69,206,13,0,1,206,330,125,2e-80,309
Bartonella washoeensis,ERR1942285.33,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.34,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.35,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.36,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Arthrobacter sp. THG-GM14,ERR1942285.37,gi|525470565|gb|KF381508.1|,99.58,240,1,0,1,240,314,75,3e-119,438
Bartonella washoeensis,ERR1942285.38,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.39,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Rhizobiales bacterium,ERR1942285.40,gi|1350900648|gb|MG996731.1|,100.00,233,0,0,1,233,283,51,5e-117,431
Clostridiales bacterium CIEAF 020,ERR1942285.41,gi|388556163|dbj|AB702928.1|,90.95,243,22,0,1,243,351,109,7e-86,327
Bartonella washoeensis,ERR1942285.42,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.43,gi|257153093|dbj|AB519066.1|,99.56,227,1,0,1,227,251,25,5e-112,414
bacterium,ERR1942285.44,gi|301207571|gb|HM670920.1|,100.00,238,0,0,1,238,309,72,9e-120,440
Bartonella washoeensis,ERR1942285.45,gi|257153093|dbj|AB519066.1|,100.00,226,0,0,1,226,251,26,4e-113,418
Bacteroidales bacterium R61,ERR1942285.46,gi|444740531|dbj|AB730657.1|,84.27,248,31,5,2,246,332,90,5e-58,235
Bartonella washoeensis,ERR1942285.47,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.48,gi|257153093|dbj|AB519066.1|,99.56,229,1,0,1,229,251,23,4e-113,418
Clostridiales bacterium oral taxon 085,ERR1942285.49,gi|285162222|gb|GU400640.1|,86.04,222,31,0,1,222,315,94,3e-59,239
Cutibacterium acnes,ERR1942285.50,gi|1285277047|gb|MG597274.1|,99.58,237,1,0,1,237,260,24,1e-117,433
Bartonella washoeensis,ERR1942285.51,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.52,gi|257153093|dbj|AB519066.1|,99.56,229,1,0,1,229,251,23,4e-113,418
bacterium AC2028,ERR1942285.53,gi|575790535|gb|KF697799.1|,93.81,226,14,0,1,226,315,90,8e-90,340
Rhizobiales bacterium,ERR1942285.54,gi|1350900648|gb|MG996731.1|,97.88,236,5,0,2,237,282,47,2e-110,409
bacterium AC2028,ERR1942285.55,gi|575790535|gb|KF697799.1|,95.44,241,11,0,1,241,315,75,4e-103,385
Clostridium sp. JL2_S,ERR1942285.56,gi|374859043|gb|JQ271538.1|,91.59,226,17,2,2,226,292,68,3e-84,322
Clostridium tyrobutyricum,ERR1942285.57,gi|1175513495|gb|KY910417.1|,94.85,97,5,0,1,97,263,167,4e-33,152
Bartonella washoeensis,ERR1942285.58,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Planococcus ruber,ERR1942285.60,gi|1441204326|ref|NR_157741.1|,98.29,234,4,0,1,234,296,63,7e-111,411
Bartonella washoeensis,ERR1942285.61,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.62,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.63,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Arthrobacter sp. MYb224,ERR1942285.64,gi|1027315959|gb|KX079796.1|,100.00,241,0,0,1,241,273,33,2e-121,446
Bartonella washoeensis,ERR1942285.65,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
bacterium NLAE-zl-G1,ERR1942285.66,gi|387862822|gb|JX048067.1|,94.49,236,12,1,1,236,239,5,2e-96,363
Bartonella washoeensis,ERR1942285.67,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Bartonella washoeensis,ERR1942285.68,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
bacterium AC2044,ERR1942285.69,gi|575790557|gb|KF697810.1|,94.27,227,11,2,1,226,332,107,2e-91,346
Bartonella washoeensis,ERR1942285.70,gi|257153093|dbj|AB519066.1|,100.00,226,0,0,1,226,251,26,4e-113,418
Bartonella washoeensis,ERR1942285.71,gi|257153093|dbj|AB519066.1|,100.00,227,0,0,1,227,251,25,1e-113,420
Ruminococcus flavefaciens,ERR1942285.72,gi|1328370333|emb|LT973316.1|,94.47,199,11,0,1,199,6,204,7e-80,307
